"year","month","guns_total","guns_total_seas","handgun_share","longgun_share","new_jersey","maryland","georgia","louisiana","mississippi","missouri","dc_handguns_per_100k_national_sales"
2000,1,574951,654212,0.3169,0.6763,0.467,0.637,3.065,2.504,2.396,2.633,2.1
2000,2,649111,658460,0.317,0.6762,0.474,0.642,3.041,2.493,2.396,2.69,0.5
2000,3,664622,657417,0.3196,0.6733,0.493,0.644,3.07,2.444,2.341,2.666,1
2000,4,552965,659223,0.3194,0.6735,0.513,0.687,3.154,2.602,2.414,2.666,1.5
2000,5,467712,647300,0.3162,0.6762,0.529,0.678,3.092,2.539,2.457,2.744,1.1
2000,6,479248,654356,0.314,0.679,0.55,0.651,3.099,2.482,2.476,2.881,0
2000,7,480019,653946,0.3131,0.68,0.561,0.709,3.111,2.459,2.424,2.704,0.5
2000,8,618567,644248,0.3141,0.679,0.565,0.677,3.091,2.373,2.358,2.597,0.5
2000,9,735382,649217,0.3148,0.6787,0.549,0.678,3.014,2.552,2.428,2.636,0
2000,10,792515,639788,0.3092,0.6841,0.541,0.639,2.984,2.509,2.357,2.7,0
2000,11,860882,643525,0.3067,0.6868,0.551,0.685,3.092,2.495,2.275,2.805,1.6
2000,12,984623,632702,0.3172,0.676,0.557,0.669,3.11,2.366,2.183,2.575,0
2001,1,568018,647811,0.3083,0.6849,0.549,0.684,3.072,2.404,2.264,2.683,0
2001,2,609012,641478,0.3004,0.6927,0.538,0.706,3.005,2.496,2.338,2.717,0.6
2001,3,647260,636795,0.2995,0.6937,0.515,0.712,3.084,2.561,2.391,2.69,1.7
2001,4,523525,634549,0.299,0.6942,0.507,0.652,2.923,2.371,2.346,2.638,1.1
2001,5,471943,649727,0.3032,0.6904,0.494,0.652,2.943,2.436,2.327,2.606,1.1
2001,6,473600,647871,0.3001,0.6931,0.473,0.738,2.931,2.647,2.398,2.716,0
2001,7,464279,646221,0.2977,0.6954,0.474,0.662,2.93,2.561,2.366,2.791,0
2001,8,644090,655665,0.293,0.7002,0.474,0.665,2.998,2.677,2.366,2.876,0
2001,9,824481,753592,0.3397,0.6536,0.572,0.7,2.774,2.295,2.027,2.537,0.4
2001,10,960890,759383,0.3514,0.642,0.602,0.716,2.811,2.349,2.042,2.591,0.4
2001,11,856319,624622,0.2992,0.6934,0.69,0.756,3.158,2.184,1.861,2.768,0.6
2001,12,972496,620393,0.2899,0.7028,0.671,0.773,3.051,2.167,1.852,2.822,0.6
2002,1,526899,599592,0.2932,0.6994,0.696,0.737,3.03,1.99,1.785,2.704,0
2002,2,560179,588934,0.2937,0.6987,0.702,0.735,3.095,2.11,1.865,2.711,0
2002,3,595597,590473,0.2909,0.7017,0.697,0.716,3.054,2.137,1.854,2.742,0.6
2002,4,502958,598171,0.2927,0.6997,0.69,0.721,3.081,2.12,1.835,2.823,0.6
2002,5,440878,593015,0.2931,0.6994,0.691,0.742,3.078,2.24,1.741,2.789,1.2
2002,6,409742,582799,0.297,0.6955,0.675,0.746,3.078,2.166,1.756,2.483,0.6
2002,7,424165,589016,0.2952,0.6973,0.654,0.758,3.092,2.201,1.766,2.672,0
2002,8,580510,588600,0.2984,0.6942,0.656,0.782,3.04,2.475,1.848,2.725,0
2002,9,618448,582464,0.3005,0.692,0.67,0.732,3.049,2.182,1.836,2.686,0
2002,10,727808,584553,0.3001,0.6926,0.672,0.751,2.989,2.18,1.804,2.701,0
2002,11,777943,577901,0.2938,0.6986,0.678,0.767,3.074,2.353,1.86,2.872,0
2002,12,900877,581486,0.2949,0.6976,0.674,0.747,3.065,2.241,1.918,2.889,0.6
2003,1,520269,574256,0.2894,0.7025,0.699,0.78,3.078,2.502,1.941,2.858,0.6
2003,2,575800,589550,0.2959,0.6962,0.681,0.73,3.168,2.33,1.83,2.812,0
2003,3,608337,594967,0.296,0.6962,0.678,0.775,3.058,2.381,1.89,2.722,1.2
2003,4,492720,582620,0.2939,0.6983,0.679,0.789,3.055,2.239,1.792,2.714,0.6
2003,5,443537,586231,0.2934,0.6987,0.687,0.833,3.129,2.328,1.812,2.746,0
2003,6,411370,586057,0.2939,0.6982,0.691,0.748,3.15,2.216,1.815,2.763,0
2003,7,415427,578300,0.3003,0.6917,0.662,0.735,3.133,2.336,1.848,2.76,1.9
2003,8,560940,588863,0.3004,0.6916,0.646,0.777,3.175,2.229,1.857,2.732,0
2003,9,617094,585356,0.3048,0.6872,0.639,0.693,3.132,2.272,1.867,3.047,0
2003,10,728364,585034,0.3014,0.6906,0.622,0.743,3.095,2.433,1.866,2.991,0.6
2003,11,749850,585380,0.2988,0.6932,0.63,0.763,2.988,2.236,1.818,2.886,0.6
2003,12,932314,592778,0.3004,0.6916,0.615,0.752,3.08,2.354,1.857,2.846,1.2
2004,1,563813,600792,0.3068,0.6856,0.587,0.703,3.046,2.273,1.752,2.757,0
2004,2,602189,595010,0.3093,0.683,0.581,0.756,3.014,2.277,1.866,2.648,0.6
2004,3,613229,595891,0.3115,0.6806,0.577,0.7,2.917,2.198,1.79,2.896,2.3
2004,4,522581,597737,0.3063,0.6857,0.568,0.734,2.973,2.267,1.823,3.015,1.2
2004,5,436434,595290,0.3098,0.6823,0.536,0.664,2.931,2.204,1.922,2.788,1.2
2004,6,430735,605651,0.3101,0.6821,0.513,0.744,2.959,2.145,1.832,2.827,0
2004,7,455593,611802,0.3052,0.687,0.523,0.782,3.108,2.186,1.747,2.906,0.6
2004,8,554617,609444,0.3032,0.6889,0.57,0.772,3.047,2.081,1.824,2.912,0
2004,9,635384,610088,0.3004,0.6919,0.591,0.804,2.971,2.041,1.748,2.775,2.3
2004,10,759418,623978,0.3051,0.6871,0.578,0.782,2.974,2.258,1.776,2.779,0
2004,11,787718,616466,0.3068,0.6852,0.589,0.86,3.036,2.217,1.836,2.895,0
2004,12,989298,616490,0.3043,0.6879,0.57,0.865,2.933,2.28,1.783,2.946,0
2005,1,558737,603548,0.3186,0.6733,0.562,0.836,2.885,2.191,1.806,2.842,0.6
2005,2,626878,622817,0.3195,0.6725,0.546,0.825,2.888,2.226,1.783,2.818,0
2005,3,646106,622037,0.3215,0.6707,0.534,0.897,2.896,2.186,1.76,2.708,0.5
2005,4,560319,629691,0.323,0.6693,0.515,0.887,2.836,2.308,1.754,2.794,0.5
2005,5,459848,628515,0.3213,0.6708,0.522,0.858,2.791,2.126,1.712,2.707,1.1
2005,6,452464,629302,0.3241,0.6675,0.516,0.849,2.757,2.19,1.66,2.808,1.6
2005,7,461922,635236,0.3315,0.6602,0.538,0.861,2.494,2.074,1.673,2.728,1.5
2005,8,574218,637085,0.3336,0.6581,0.538,0.866,2.452,2.15,1.54,2.857,0
2005,9,682973,656585,0.3514,0.64,0.515,0.879,2.525,3.473,2.252,2.643,0.5
2005,10,761274,656877,0.3407,0.6508,0.513,0.832,2.555,3.005,2.345,2.715,1
2005,11,839675,671619,0.3371,0.6548,0.514,0.795,3.732,3.046,2.216,2.731,0.9
2005,12,1103908,678954,0.3282,0.6641,0.53,0.85,3.806,3.009,2.17,2.851,1.4
2006,1,658550,697164,0.3289,0.6634,0.501,0.78,4.034,2.894,2.211,2.819,1.8
2006,2,700401,685444,0.3264,0.6659,0.495,0.784,3.772,2.741,2.021,2.697,7.6
2006,3,730452,681884,0.3274,0.6652,0.51,0.759,3.985,2.776,2.062,2.728,3.4
2006,4,589939,674551,0.3338,0.6584,0.517,0.74,3.908,2.656,2.041,2.559,2.4
2006,5,506301,664714,0.3358,0.6564,0.53,0.782,4.142,2.763,2.06,2.762,0.5
2006,6,500223,667368,0.3392,0.6528,0.519,0.762,4.074,2.809,2.056,2.695,2.4
2006,7,485773,666993,0.3431,0.6483,0.493,0.726,2.948,2.775,2.058,2.679,0
2006,8,617640,688600,0.3449,0.6461,0.479,0.775,2.849,2.528,2.041,2.774,2.3
2006,9,714996,701731,0.3351,0.6531,0.492,0.782,2.775,2.287,2.07,2.71,0.5
2006,10,760901,693688,0.3427,0.648,0.504,0.838,2.762,2.489,1.948,2.753,0.9
2006,11,855183,702960,0.3384,0.6508,0.503,0.839,2.812,2.426,1.998,2.576,1.4
2006,12,1093884,707131,0.3388,0.6485,0.511,0.862,2.796,2.437,1.901,2.722,3.1
2007,1,669125,703205,0.3461,0.6351,0.488,0.891,2.63,2.515,1.871,2.459,2.1
2007,2,709081,701080,0.3479,0.6311,0.478,0.887,2.575,2.352,1.846,2.5,0.4
2007,3,768020,704192,0.3479,0.6275,0.46,0.91,2.486,2.421,1.768,2.531,1.3
2007,4,637739,718461,0.355,0.6189,0.436,0.894,2.558,2.402,1.818,2.631,0.8
2007,5,604445,753832,0.357,0.6036,0.423,0.843,2.415,2.34,1.7,2.518,2.2
2007,6,604934,763713,0.3574,0.6029,0.448,0.828,2.41,2.356,1.737,2.48,1.1
2007,7,570117,760697,0.3473,0.6148,0.458,0.844,2.495,2.359,1.828,2.45,0.8
2007,8,674492,736366,0.3585,0.6266,0.476,0.907,2.661,2.45,1.811,3.194,0.4
2007,9,689675,725303,0.3693,0.6209,0.487,0.868,2.59,2.038,1.836,3.665,0.4
2007,10,764083,710697,0.3679,0.6217,0.488,0.888,2.544,2.546,1.871,3.476,1.2
2007,11,839913,698253,0.3628,0.6274,0.49,0.83,2.622,2.652,1.904,3.21,0
2007,12,1044136,703751,0.3751,0.6153,0.491,0.88,2.665,2.615,1.891,3.296,0.4
2008,1,676154,707883,0.38,0.6104,0.488,0.902,2.662,2.674,2.015,3.551,0.4
2008,2,755758,699730,0.3812,0.609,0.481,0.986,2.578,2.735,1.771,3.617,0.4
2008,3,771668,711677,0.3862,0.6042,0.468,0.877,2.618,2.567,1.755,3.604,0
2008,4,657547,717672,0.3915,0.5991,0.471,0.915,2.716,2.704,1.737,3.604,0
2008,5,614266,740227,0.3902,0.5997,0.462,1.075,2.694,2.786,1.816,3.708,0
2008,6,558244,744287,0.3944,0.5952,0.472,1.041,2.686,2.656,1.803,3.705,0
